[2026-05-23 23:06:54] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:06:54] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:59] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:06:59] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:04] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:07:04] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:09] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:09] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:07:14] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:14] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:07:19] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:19] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:07:24] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:24] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:07:29] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:29] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:07:34] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:07:34] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:39] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:39] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:07:44] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:44] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:07:48] [INFO] [SERVER] Peer replicated that Server ID: 1 has members in room lobby
[2026-05-23 23:07:49] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:49] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:07:51] [INFO] [REPLICATION] Replicating room lobby join of Server 2 to peers
[2026-05-23 23:07:54] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:54] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:07:59] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:07:59] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:04] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:04] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:09] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:09] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:14] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:14] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:19] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:19] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:24] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:24] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:29] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:29] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:34] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:34] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:39] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:39] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:44] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:44] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:49] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:49] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:54] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:08:54] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:59] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:08:59] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:04] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:04] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:09] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:09] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:14] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:14] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:19] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:19] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:24] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:24] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:29] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:29] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:34] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:34] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:39] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:39] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:44] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:44] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:49] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:49] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:51] [INFO] [SERVER] Peer replicated that Server ID: 1 no longer has members in room lobby
[2026-05-23 23:09:54] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:09:54] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:58] [INFO] [SERVER] Peer replicated User Alice offline (logout)
[2026-05-23 23:09:59] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:09:59] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:04] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:04] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:09] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:09] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:14] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:14] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:19] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:19] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:24] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:24] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:29] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:29] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:34] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:34] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:39] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:39] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:44] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:44] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:49] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:49] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:54] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:54] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:10:59] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:10:59] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:04] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:11:04] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:09] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:11:09] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:14] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:14] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:11:19] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:11:19] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:24] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:11:24] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:30] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:11:30] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:35] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:11:35] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:40] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:11:40] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:45] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:45] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:11:50] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:11:50] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:55] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:11:55] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:00] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:00] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:12:05] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:12:05] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:10] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:10] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:12:15] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:15] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:12:20] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:20] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:12:25] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:25] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:12:30] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:12:30] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:35] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:12:35] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:40] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:40] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:12:45] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:12:45] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:50] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:12:50] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:55] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
[2026-05-23 23:12:55] [DEBUG] [SERVER] Heartbeat ACK received from peer Server ID: 1
[2026-05-23 23:13:00] [DEBUG] [HEARTBEAT] Heartbeat ping sent to peer Server ID: 1
